date,avg_temp,max_temp,min_temp,rain_fall,cloud,sunshine,moist,price
36161,-1.5,3.5,-6.9,0,1.5,7.2,58.5,1618
36162,2.7,6.6,-0.5,0.1,4.6,5.8,77,1618
36163,1.9,8.6,-2.8,0,0.9,7.8,59,1618
36164,2.5,9.2,-3,0,0,7.7,54.1,1618
36165,3.6,8.1,-1.9,0,5.6,2.1,65.5,1627
36166,3.3,5.9,-0.5,1.8,6,0,74.6,1600
36167,-6,-0.5,-8.6,0,0,8.6,40.4,1564
36168,-9.1,-5.6,-11,0,0.4,7.6,45.3,1564
36169,-9.3,-5.4,-12.2,0,0,8.3,43.3,1564
36170,-6.7,-2.3,-10.8,0,0,8.5,37.1,1568
36171,-6.3,-2.1,-9.1,0,0,8.3,48.1,1568
36172,-5.6,-1.5,-8.9,0,0,8,55.8,1573
36173,-3.6,0.7,-7.2,0,0,8.4,61.8,1627
36174,-3.3,-0.2,-5.7,0,7.5,3.1,55.1,1591
36175,-2.4,1.5,-6,0,1.9,8.2,53,1536
36176,-1.7,3.2,-5.2,0,1.5,8.3,55.3,1527
36177,-1,3.8,-5.3,0,3.9,6,63,1527
36178,1.8,7.3,-2.7,0,4,5.2,68.6,1527
36179,2.8,6.7,-1.8,0,7.1,1.8,60.9,1527
36180,-2.6,1.5,-5.5,0,1,8.5,54.5,1527
36181,-0.6,4.6,-7.1,0,4.5,4.7,61.9,1527
36182,5.1,7.3,2,0,8.5,1,75.8,1527
36183,6.5,8.4,4.7,0,7.9,0,72.6,1527
36184,7.5,12.4,4.2,0,3.8,7.6,65.6,1527
36185,5,7.1,0.8,3,5,6.2,61.1,1527
36186,3.8,8.3,-1.3,0,1,7.2,56.5,1536
36187,4,7.7,-2.6,0.7,5.1,0.6,66.4,1527
36188,-2.3,0.8,-5.8,0.1,1.3,8.4,39,1518
36189,-5.4,-1.1,-8.9,4.5,0.5,8.8,59.8,1518
36190,-5.6,-0.5,-10.5,0,0.9,8.8,55.3,1518
36191,-1.1,3.3,-6.3,0,6.8,1.4,62.9,1518
